filename,latitude,longitude,height,roll,pitch,heading,date,time,unix_time_sec,distancetoprevious
003491-20211011-130642-000000135,2.414433,102.737755,31.1628646851,0,0,152.4294409902,2021-10-11,13:08:05,1633928885,3.289
003491-20211011-130642-000000136,2.414407,102.737767,30.9336795807,0,0,152.4911449192,2021-10-11,13:08:05,1633928885,3.281
003491-20211011-130642-000000137,2.414381,102.737780,30.8010158539,0,0,152.2574158458,2021-10-11,13:08:06,1633928886,3.203
003491-20211011-130642-000000138,2.414355,102.737793,30.4687919617,0,0,152.1625991597,2021-10-11,13:08:06,1633928886,3.224
003491-20211011-130642-000000139,2.414328,102.737808,30.3574867249,0,0,152.3152129065,2021-10-11,13:08:07,1633928887,3.427
003491-20211011-130642-000000140,2.414302,102.737821,30.0528011322,0,0,152.31931102,2021-10-11,13:08:07,1633928887,3.248
003491-20211011-130642-000000141,2.414274,102.737834,29.7070026398,0,0,152.3449242294,2021-10-11,13:08:07,1633928887,3.339
003491-20211011-130642-000000142,2.414247,102.737847,29.4035644531,0,0,152.5987477193,2021-10-11,13:08:08,1633928888,3.353
003491-20211011-130642-000000143,2.414220,102.737861,28.9844932556,0,0,152.6288688536,2021-10-11,13:08:08,1633928888,3.387
003491-20211011-130642-000000144,2.414196,102.737872,28.7952957153,0,0,152.5511139801,2021-10-11,13:08:09,1633928889,3.005
003491-20211011-130642-000000145,2.414170,102.737885,28.5181846619,0,0,152.0120344696,2021-10-11,13:08:09,1633928889,3.205
003491-20211011-130642-000000146,2.414143,102.737899,28.0224304199,0,0,151.577402212,2021-10-11,13:08:09,1633928889,3.361
003491-20211011-130642-000000147,2.414117,102.737912,27.45844841,0,0,151.3772366882,2021-10-11,13:08:10,1633928890,3.203
003491-20211011-130642-000000148,2.414092,102.737925,26.9612045288,0,0,150.7871083439,2021-10-11,13:08:10,1633928890,3.207
003491-20211011-130642-000000149,2.414067,102.737939,26.5181674957,0,0,150.5070979087,2021-10-11,13:08:11,1633928891,3.179
003491-20211011-130642-000000150,2.414042,102.737952,26.0443897247,0,0,151.43109956,2021-10-11,13:08:12,1633928892,3.037
003491-20211011-130642-000000151,2.414017,102.737965,25.4677009583,0,0,152.4759682388,2021-10-11,13:08:12,1633928892,3.158
003491-20211011-130642-000000152,2.413991,102.737977,24.8933677673,0,0,154.225603157,2021-10-11,13:08:13,1633928893,3.242
003491-20211011-130642-000000153,2.413964,102.737989,24.4221801758,0,0,156.4683504125,2021-10-11,13:08:13,1633928893,3.251
003491-20211011-130642-000000154,2.413937,102.737999,24.211938858,0,0,157.758873675,2021-10-11,13:08:14,1633928894,3.212
003491-20211011-130642-000000155,2.413909,102.738010,23.7228965759,0,0,157.9211862905,2021-10-11,13:08:14,1633928894,3.318
003491-20211011-130642-000000156,2.413883,102.738021,23.474811554,0,0,157.146875065,2021-10-11,13:08:15,1633928895,3.175
003491-20211011-130642-000000157,2.413856,102.738032,23.2320175171,0,0,156.1261579351,2021-10-11,13:08:15,1633928895,3.286
003491-20211011-130642-000000158,2.413831,102.738044,22.9748535156,0,0,155.2038228499,2021-10-11,13:08:16,1633928896,3.032
003491-20211011-130642-000000159,2.413806,102.738056,22.7496891022,0,0,154.7690539885,2021-10-11,13:08:16,1633928896,3.115
003491-20211011-130642-000000160,2.413779,102.738068,22.5221767426,0,0,154.5565941242,2021-10-11,13:08:16,1633928896,3.248
003491-20211011-130642-000000161,2.413753,102.738081,22.1592483521,0,0,154.2856678406,2021-10-11,13:08:17,1633928897,3.285
003491-20211011-130642-000000162,2.413726,102.738094,21.8057746887,0,0,154.1824500218,2021-10-11,13:08:17,1633928897,3.25
003491-20211011-130642-000000163,2.413701,102.738106,21.4430065155,0,0,154.1593913032,2021-10-11,13:08:18,1633928898,3.151
003491-20211011-130642-000000164,2.413675,102.738118,21.062084198,0,0,154.2526643665,2021-10-11,13:08:18,1633928898,3.098
003491-20211011-130642-000000165,2.413650,102.738129,20.6662063599,0,0,155.1305075994,2021-10-11,13:08:18,1633928898,3.073
003491-20211011-130642-000000166,2.413623,102.738142,20.1034698486,0,0,156.1410887286,2021-10-11,13:08:19,1633928899,3.32
003491-20211011-130642-000000167,2.413598,102.738152,19.9088764191,0,0,157.0278795093,2021-10-11,13:08:19,1633928899,3.068
003491-20211011-130642-000000168,2.413572,102.738162,19.60039711,0,0,157.383008365,2021-10-11,13:08:20,1633928900,3.076
003491-20211011-130642-000000169,2.413545,102.738172,19.2853660583,0,0,155.5896875569,2021-10-11,13:08:20,1633928900,3.18
003491-20211011-130642-000000170,2.413521,102.738184,19.0667762756,0,0,152.3447056634,2021-10-11,13:08:21,1633928901,3.012
003491-20211011-130642-000000171,2.413497,102.738197,19.0747585297,0,0,151.3257917034,2021-10-11,13:08:22,1633928902,3.019
003491-20211011-130642-000000172,2.413472,102.738210,18.8138141632,0,0,152.1749754625,2021-10-11,13:08:23,1633928903,3.132
003491-20211011-130642-000000173,2.413447,102.738222,18.6226539612,0,0,153.7004845532,2021-10-11,13:08:23,1633928903,3.068
003491-20211011-130642-000000174,2.413422,102.738234,18.391456604,0,0,155.6921540548,2021-10-11,13:08:24,1633928904,3.049
003491-20211011-130642-000000175,2.413397,102.738245,18.0878105164,0,0,156.6217428009,2021-10-11,13:08:24,1633928904,3.039
003491-20211011-130642-000000176,2.413370,102.738256,17.8301372528,0,0,157.3375602863,2021-10-11,13:08:25,1633928905,3.247
003491-20211011-130642-000000177,2.413344,102.738267,17.8811435699,0,0,157.7135212189,2021-10-11,13:08:26,1633928906,3.191
003491-20211011-130642-000000178,2.413319,102.738277,17.5775737762,0,0,157.3863005162,2021-10-11,13:08:26,1633928906,3.009
003491-20211011-130642-000000179,2.413293,102.738288,17.4231529236,0,0,156.8590645538,2021-10-11,13:08:27,1633928907,3.134
003491-20211011-130642-000000180,2.413268,102.738299,17.2303333282,0,0,156.1256115199,2021-10-11,13:08:27,1633928907,3.034
003491-20211011-130642-000000181,2.413242,102.738311,17.0045471191,0,0,155.2498993061,2021-10-11,13:08:28,1633928908,3.13
003491-20211011-130642-000000182,2.413216,102.738324,17.0703258514,0,0,154.346196977,2021-10-11,13:08:28,1633928908,3.249
003491-20211011-130642-000000183,2.413189,102.738337,16.8483200073,0,0,153.7121778371,2021-10-11,13:08:28,1633928908,3.364
003491-20211011-130642-000000184,2.413164,102.738349,16.5954208374,0,0,153.3749850581,2021-10-11,13:08:29,1633928909,3.018
003491-20211011-130642-000000185,2.413138,102.738362,16.312877655,0,0,153.8056967872,2021-10-11,13:08:29,1633928909,3.285
003491-20211011-130642-000000186,2.413113,102.738374,16.0792579651,0,0,154.1103642053,2021-10-11,13:08:30,1633928910,3.071
003491-20211011-130642-000000187,2.413087,102.738386,15.71002388,0,0,154.5650225776,2021-10-11,13:08:30,1633928910,3.168
003491-20211011-130642-000000188,2.413061,102.738398,15.3443307877,0,0,154.9703669841,2021-10-11,13:08:31,1633928911,3.156
003491-20211011-130642-000000189,2.413036,102.738410,14.9463710785,0,0,155.1373651093,2021-10-11,13:08:31,1633928911,3.096
003491-20211011-130642-000000190,2.413011,102.738421,14.6465873718,0,0,157.1868316717,2021-10-11,13:08:32,1633928912,3.055
003491-20211011-130642-000000191,2.412985,102.738430,14.5573530197,0,0,162.5865333427,2021-10-11,13:08:33,1633928913,3.011
003491-20211011-130642-000000192,2.412958,102.738431,14.6160755157,0,0,175.8830128641,2021-10-11,13:08:34,1633928914,3.03
003491-20211011-130642-000000193,2.412932,102.738421,14.6037321091,0,0,202.8847997099,2021-10-11,13:08:36,1633928916,3.11
003491-20211011-130642-000000194,2.412916,102.738400,14.8375415802,0,0,231.8002006555,2021-10-11,13:08:37,1633928917,3.008
003491-20211011-130642-000000195,2.412905,102.738375,14.7207317352,0,0,242.3591540179,2021-10-11,13:08:38,1633928918,3.031
003491-20211011-130642-000000196,2.412892,102.738349,14.6568412781,0,0,244.0737500657,2021-10-11,13:08:38,1633928918,3.222
003491-20211011-130642-000000197,2.412881,102.738324,14.7508068085,0,0,248.1055014497,2021-10-11,13:08:39,1633928919,3.022
003491-20211011-130642-000000198,2.412872,102.738296,14.8525123596,0,0,252.8863879819,2021-10-11,13:08:39,1633928919,3.246
003491-20211011-130642-000000199,2.412866,102.738269,14.9297847748,0,0,256.0377553027,2021-10-11,13:08:40,1633928920,3.087
003491-20211011-130642-000000200,2.412858,102.738241,15.151506424,0,0,256.0515522848,2021-10-11,13:08:40,1633928920,3.146
003491-20211011-130642-000000201,2.412852,102.738215,15.3192081451,0,0,256.3164543416,2021-10-11,13:08:41,1633928921,3.064
003491-20211011-130642-000000202,2.412845,102.738188,15.7200784683,0,0,255.4832532251,2021-10-11,13:08:41,1633928921,3.038
003491-20211011-130642-000000203,2.412838,102.738162,15.811249733,0,0,253.8228615586,2021-10-11,13:08:42,1633928922,3.005
003491-20211011-130642-000000204,2.412829,102.738136,15.913977623,0,0,252.6912084962,2021-10-11,13:08:44,1633928924,3.028
003491-20211011-130642-000000205,2.412821,102.738110,15.9658126831,0,0,256.9523995948,2021-10-11,13:08:45,1633928925,3.051
003491-20211011-130642-000000206,2.412816,102.738082,15.9015436172,0,0,262.3528935677,2021-10-11,13:08:47,1633928927,3.127
003491-20211011-130642-000000207,2.412814,102.738054,16.1801452637,0,0,261.733504693,2021-10-11,13:08:48,1633928928,3.098
003491-20211011-130642-000000208,2.412809,102.738027,15.7923278809,0,0,256.5951807012,2021-10-11,13:08:49,1633928929,3.111
003491-20211011-130642-000000209,2.412800,102.738000,15.7055397034,0,0,250.6376711411,2021-10-11,13:08:50,1633928930,3.156
003491-20211011-130642-000000210,2.412788,102.737974,15.9729681015,0,0,246.4709825398,2021-10-11,13:08:50,1633928930,3.14
003491-20211011-130642-000000211,2.412776,102.737949,16.1024360657,0,0,246.9255999309,2021-10-11,13:08:51,1633928931,3.137
003491-20211011-130642-000000212,2.412765,102.737922,16.2677822113,0,0,248.4614635885,2021-10-11,13:08:51,1633928931,3.225
003491-20211011-130642-000000213,2.412756,102.737895,16.4038715363,0,0,250.0304126823,2021-10-11,13:08:52,1633928932,3.201
003491-20211011-130642-000000214,2.412746,102.737869,16.5028400421,0,0,250.0049770579,2021-10-11,13:08:53,1633928933,3.068
003491-20211011-130642-000000215,2.412736,102.737841,16.6729030609,0,0,249.6822096385,2021-10-11,13:08:53,1633928933,3.249
003491-20211011-130642-000000216,2.412725,102.737814,16.97016716,0,0,248.4641410226,2021-10-11,13:08:54,1633928934,3.3
